type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKElevationAscended,HKAverageMETs,HKWeatherHumidity,HKIndoorWorkout,HKTimeZone,HKWeatherTemperature,HKWasUserEntered
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-12 03:37:35,2022-03-12 04:17:36,Running,2400.8465819358826,sec,513.114 kcal,7035.45,,,3557 cm,13.7259 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-14 03:45:39,2022-03-14 04:25:45,Running,2405.805181980133,sec,512.143 kcal,7058.44,,,2074 cm,13.643 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-15 03:43:31,2022-03-15 04:13:33,Running,1802.1236950159073,sec,389.964 kcal,5436.76,,,1997 cm,13.9019 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-18 03:32:04,2022-03-18 03:59:07,Running,1623.6213549375534,sec,343.908 kcal,5035.48,,,2620 cm,13.628 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-19 03:35:12,2022-03-19 04:03:56,Running,1724.5300809144974,sec,377.268 kcal,5269.68,,,2494 cm,13.8874 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-20 03:43:14,2022-03-20 04:10:55,Running,1660.3777140378952,sec,355.613 kcal,5135.51,,,1575 cm,13.7841 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-25 03:28:11,2022-03-25 03:54:36,Running,1584.8481030464172,sec,328.823 kcal,5034.82,,,2320 cm,13.4023 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.5,"Watch5,4","<<HKDevice: 0x28262be80>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.5>",2022-03-26 03:43:07,2022-03-26 04:09:51,Running,1603.7463600635529,sec,351.925 kcal,5048.92,,,2469 cm,13.906 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.6,"Watch5,4","<<HKDevice: 0x282629c20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.6>",2022-04-18 03:39:15,2022-04-18 04:00:38,Running,1283.3086049556732,sec,278.81 kcal,4062.06,,,1683 cm,13.9694 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.6,"Watch5,4","<<HKDevice: 0x282629c20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.6>",2022-05-02 03:27:29,2022-05-02 03:48:10,Running,1240.6354789733887,sec,281.247 kcal,4021.49,,,1211 cm,14.5331 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.6,"Watch5,4","<<HKDevice: 0x282629c20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.6>",2022-05-03 02:43:41,2022-05-03 03:09:41,Running,1560.3180899620056,sec,330.765 kcal,5031.8,,,2040 cm,13.5683 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.6,"Watch5,4","<<HKDevice: 0x282629c20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.6>",2022-05-04 03:03:25,2022-05-04 03:29:25,Running,1559.4778779745102,sec,347.931 kcal,5024.86,,,2231 cm,14.3134 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.7,"Watch5,4","<<HKDevice: 0x28262a170>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.7>",2022-06-03 02:47:06,2022-06-03 03:18:21,Running,1874.2627489566803,sec,427.448 kcal,6025.4,,,2261 cm,14.5815 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.7,"Watch5,4","<<HKDevice: 0x28262a170>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.7>",2022-06-04 02:47:06,2022-06-04 03:23:58,Running,2212.7106699943542,sec,503.369 kcal,7028.16,,,2289 cm,14.5152 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,8.7,"Watch5,4","<<HKDevice: 0x28262a170>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:8.7>",2022-06-06 02:52:51,2022-06-06 03:35:16,Running,2545.1793410778046,sec,576.205 kcal,8024.9,,,2172 cm,14.4676 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-06-08 02:42:32,2022-06-08 03:24:46,Running,2533.6400479078293,sec,570.52 kcal,8024.23,,,2531 cm,14.3756 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-06-11 02:49:57,2022-06-11 03:31:30,Running,2493.517231941223,sec,577.908 kcal,8012.65,,,2264 cm,14.5486 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-06-14 02:45:00,2022-06-14 03:26:23,Running,2483.5264320373535,sec,576.481 kcal,8023.31,,,2346 cm,14.565 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-09-01 02:35:28,2022-09-01 03:02:12,Running,1603.2716419696808,sec,336.95 kcal,5026.55,,,1909 cm,13.2942 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-09-02 02:46:07,2022-09-02 03:14:40,Running,1600.3492290973663,sec,327.31 kcal,5005.41,,,1705 cm,12.2754 kcal/hr·kg,,0,Europe/Moscow,,
HKWorkoutTypeIdentifier,Даня’s Apple Watch,9.0,"Watch5,4","<<HKDevice: 0x282612b20>, name:Apple Watch,anufacturer:Apple Inc.,odel:Watch, hardware:Watch5,4, software:9.0>",2022-09-05 02:38:38,2022-09-05 03:10:10,Running,1892.1470340490341,sec,407.452 kcal,6010.89,,,2376 cm,13.6118 kcal/hr·kg,,0,Europe/Moscow,,
